Comments ,Target_Entity,target stance 
"When he started talking about his mother, legit his tone went aggressive like yes sis defend your mom.",James Charles,support james charles
A 40 yr old women dragging a 19 yr old because of vitamin gummies...,"James Charles, Tati",against tati 
why did this 19 year old act more mature than everybody involved,James Charles,support james charles
"you ARE NOT the only one watching this during quarantine:,)",none,neutral 
This boy pulled the biggest uno reverse in yt history,James Charles,support james charles
"Lets be honest, YouTube is one big reality tv show",none,neutral 
Imagine how long this video would last if James didn't talk that fast,James Charles,neutral 
social media it's the worst version of high-school,James Charles,support james charles
"NGL this was the biggest clap back ever, he is a king",James Charles,support james charles
Moral of this story: KEEP EVERY TEXT ANYONE EVER SENDS YOU.,Tati,against tati 
The fact that she disrespected James' mum really explains how low she can go.,Tati,against tati 
so he was the worst kisser ever but he still made out with him for an hour?,James Charles,support james charles
Can we appreciate that James put no ads on a 40 minute video?,James Charles,support james charles
Who just randomly started sipping some tea from the past?,James Charles,support james charles
Those who returned his palette must be feeling really dumbbb,James Charles,support james charles
He did say he would be in a law school if he wasn’t a makeup guru,James Charles,support james charles
I Still cant believe Jeffrey was that rude to James's brother.,"James Charles, Jeffree ",against jefree
m always thankful I witnessed this in real time.,none ,neutral 
how is this a year ago it literally feels like yesterday,none ,neutral 
Wow.. People forget that James Charles is still a kid and a human. ️,james Charles ,support james charles
Love how these 40 year olds are still weeping about it while james is just thriving and doing doja cats makeup i-,james Charles ,support james charles
"Its kinda depressing, because James put the Suicidal Hotline, seriously, no joke, no hate",james Charles ,support james charles
remember when beauty gurus did makeup? ah shit here we go again,"James Charles, Tati",against james charles 
Well i guess you could say James and Tati's relationship was based on a bad foundation,"James Charles, Tati",neutral 
Isn't it funny how people act like they weren't on Tati's side?,tati,against tati 
This is my Roman Empire,none,neutral 
Does your back hurt from literally carrying the whole beauty community?,james Charles ,support james charles
